uid,name,revision,origin,playerid,overallrating,preferredposition1,preferredposition2,preferredposition3,preferredposition4,trait1,trait2,icontrait1,icontrait2,role1,role2,role3,role4,role5,skillmoves,weakfootabilitytypecode,acceleration,sprintspeed,agility,balance,jumping,stamina,strength,reactions,aggression,composure,interceptions,positioning,vision,ballcontrol,crossing,dribbling,finishing,freekickaccuracy,headingaccuracy,longpassing,shortpassing,defensiveawareness,shotpower,longshots,standingtackle,slidingtackle,volleys,curve,penalties,gkdiving,gkhandling,gkkicking,gkreflexes,gkpositioning
52,Alexander Isak,Gold Rare,N/A,233731,88,25,-1,-1,-1,6291652,0,1,0,142,142,0,0,0,3,4,86,80,73,69,90,82,79,87,58,88,38,89,80,87,68,88,91,64,82,60,79,35,91,60,34,29,81,75,86,10,10,10,10,10
56,Federico Valverde,Gold Rare,N/A,239053,89,14,-1,-1,-1,2950148,0,67108864,0,118,118,116,5,0,2,4,84,92,77,68,82,93,82,89,81,84,86,86,86,88,78,84,80,69,63,88,88,82,91,88,87,86,78,76,59,10,10,10,10,10
60,Lautaro Martínez,Gold Rare,N/A,231478,88,25,-1,-1,-1,605028628,0,128,0,141,141,0,0,0,3,4,83,80,88,87,91,86,80,92,87,88,48,93,79,84,68,81,93,65,86,72,78,45,87,72,50,45,92,84,74,10,10,10,10,10
61,Rodrigo Hernández Cascante,Gold Rare,N/A,231866,90,10,-1,-1,-1,285737988,0,2048,0,116,116,121,0,0,2,4,65,65,66,67,83,91,83,93,85,93,84,76,84,90,76,84,74,64,81,91,93,88,92,91,87,82,71,86,62,10,10,10,10,10
62,Virgil van Dijk,Gold Rare,N/A,203376,90,5,-1,-1,-1,269107728,0,65536,0,113,113,0,0,0,1,3,66,78,54,50,89,75,93,90,85,90,91,47,70,77,53,70,52,70,88,83,80,91,81,83,91,87,45,60,62,10,10,10,10,10
63,Robert Lewandowski,Gold Rare,N/A,188545,88,25,-1,-1,-1,4194645,0,2,0,141,141,0,0,0,3,4,73,74,77,83,91,76,89,89,81,87,49,90,81,88,76,84,92,84,87,70,84,35,89,70,42,19,86,79,90,10,10,10,10,10
67,Erling Haaland,Gold Rare,N/A,239085,90,25,-1,-1,-1,536871094,0,64,0,141,141,0,0,0,2,3,79,92,71,69,92,76,93,93,88,86,43,95,74,82,58,79,94,62,83,66,77,38,94,66,47,29,90,77,90,10,10,10,10,10
68,Vítor Machado Ferreira,Gold Rare,N/A,255253,89,14,-1,-1,-1,67177729,0,1048576,0,121,121,116,0,0,3,3,75,69,91,89,66,87,59,88,77,88,85,81,90,88,78,91,80,69,52,89,90,74,77,89,79,69,62,81,88,10,10,10,10,10
69,Harry Kane,Gold Rare,N/A,202126,89,25,-1,-1,-1,4195536,0,1,0,141,141,0,0,0,2,4,62,66,67,72,87,76,86,94,80,92,42,94,86,87,80,80,93,69,90,79,86,46,91,79,44,38,89,82,95,10,10,10,10,10
73,Jude Bellingham,Gold Rare,N/A,252371,90,18,-1,-1,-1,5513408,0,67108864,0,131,131,121,0,0,3,4,81,80,83,83,85,94,80,91,85,90,82,91,90,91,66,91,88,68,75,89,90,77,86,89,79,77,77,73,74,10,10,10,10,10
74,Sophia Wilson,Gold Rare,N/A,264012,88,25,-1,-1,-1,42991681,0,4194304,0,143,143,139,0,0,3,5,91,92,85,86,92,85,83,88,68,80,43,88,74,91,73,89,89,72,79,75,88,41,86,75,42,39,84,74,80,10,10,10,10,10
78,Lauren Hemp,Gold Rare,N/A,257008,87,27,-1,-1,-1,37752833,0,2097152,0,139,139,130,0,0,3,3,92,91,90,91,78,88,63,86,62,70,69,83,83,87,92,88,78,80,63,79,81,56,83,79,69,57,69,86,68,10,10,10,10,10
79,Alisson Ramses Becker,Gold Rare,N/A,212831,89,0,-1,-1,-1,0,33,0,8,145,145,0,0,0,0,3,60,49,40,37,82,32,78,87,27,66,11,13,66,42,17,27,13,18,29,58,60,15,65,58,19,16,20,19,23,86,85,86,89,90
83,Raphael Dias Belloli,Gold Rare,N/A,233419,89,16,-1,-1,-1,109051909,0,2097152,0,130,130,0,0,0,3,4,90,91,88,79,82,91,65,87,77,85,56,89,87,88,86,88,87,79,74,80,85,49,83,80,54,38,72,85,78,10,10,10,10,10
84,Ada Hegerberg,Gold Rare,N/A,227310,87,25,-1,-1,-1,542113792,0,16,0,142,142,0,0,0,3,4,71,73,74,45,90,75,85,87,65,85,23,89,76,89,68,90,89,75,91,72,82,41,82,72,33,30,86,79,84,10,10,10,10,10
85,Lamine Yamal Nasraoui Ebana,Gold Rare,N/A,277643,89,12,-1,-1,-1,37757313,0,1048576,0,126,126,135,0,0,4,3,88,83,93,81,58,73,45,88,45,84,18,88,88,90,89,92,83,65,33,84,88,23,83,84,20,28,65,87,69,10,10,10,10,10
86,Joshua Kimmich,Gold Rare,N/A,212622,89,10,-1,-1,-1,84021249,0,1024,0,116,116,106,0,0,2,4,75,70,83,84,77,92,69,89,89,86,85,78,86,86,92,82,68,79,72,92,89,82,78,92,86,85,69,85,71,10,10,10,10,10
90,Guro Reiten,Gold Rare,N/A,227323,88,16,-1,-1,-1,100667657,0,2097152,0,130,130,138,33,0,3,3,87,88,91,90,71,91,61,88,60,88,65,86,87,88,92,84,83,80,50,80,83,60,81,80,60,57,61,80,89,10,10,10,10,10
91,Achraf Hakimi,Gold Rare,N/A,235212,89,3,-1,-1,-1,50483264,0,67108864,0,106,106,0,0,0,3,4,89,95,81,78,84,95,72,90,77,84,85,84,78,85,85,82,80,80,71,73,86,82,82,73,85,79,74,78,68,10,10,10,10,10
92,Mallory Swanson,Gold Rare,N/A,232073,87,16,-1,-1,-1,38797313,0,0,0,130,130,143,0,0,3,5,87,88,83,88,77,87,61,85,70,78,43,88,86,86,76,85,85,76,68,77,85,36,81,77,41,39,70,73,75,10,10,10,10,10
93,Beth Mead,Gold Rare,N/A,245802,87,12,-1,-1,-1,1052800,0,4194304,0,126,126,135,0,0,4,4,83,81,74,84,85,81,84,89,31,82,73,85,86,91,87,88,84,88,68,74,84,61,88,74,69,68,73,81,68,10,10,10,10,10
94,Pedro González López,Gold Rare,N/A,251854,89,14,-1,-1,-1,68160768,0,4194304,0,121,121,116,0,0,3,4,79,76,89,92,72,90,73,87,72,90,87,86,91,91,76,91,77,62,50,88,90,74,68,88,85,79,56,79,53,10,10,10,10,10
98,Leah Williamson,Gold Rare,N/A,246426,87,5,-1,-1,-1,268452864,0,131072,0,113,113,115,0,0,2,3,73,75,73,73,86,73,77,88,81,82,86,31,63,85,60,61,50,67,85,88,83,90,48,88,89,88,45,60,50,10,10,10,10,10
99,Ewa Pajor,Gold Rare,N/A,241846,88,25,-1,-1,-1,2097360,0,1,0,141,141,138,0,0,2,3,88,87,90,83,90,82,82,84,24,89,20,91,72,90,47,88,92,66,77,51,75,18,87,51,12,10,89,64,89,10,10,10,10,10
100,Gianluigi Donnarumma,Gold Rare,N/A,230621,89,0,-1,-1,-1,0,2,0,32,101,101,0,0,0,0,3,50,55,57,38,73,41,75,87,30,54,26,14,60,30,12,28,12,14,12,34,36,21,53,34,14,16,8,12,24,90,83,70,90,87
104,Sakina Karchaoui,Gold Rare,N/A,233662,87,14,-1,-1,-1,101806080,0,0,0,121,121,140,10,0,4,4,92,87,91,85,76,90,57,84,72,88,82,85,88,88,86,89,71,75,66,87,89,76,88,87,80,76,59,81,70,10,10,10,10,10
105,Alexia Putellas Segura,Gold Rare,N/A,227203,91,14,-1,-1,-1,1059201,0,4194304,0,121,121,133,0,0,4,5,81,82,90,89,85,85,81,91,70,92,78,91,92,92,88,91,91,85,74,90,91,60,86,90,81,64,87,89,89,10,10,10,10,10
109,Christiane Endler,Gold Rare,N/A,245956,88,0,-1,-1,-1,0,4,0,8,102,102,0,0,0,0,3,46,35,39,42,60,41,46,83,21,45,16,10,69,22,15,15,15,11,13,35,31,15,63,35,11,12,8,18,13,88,82,84,89,89
110,Irene Paredes Hernández,Gold Rare,N/A,227190,88,5,-1,-1,-1,803840,0,268435456,0,113,113,0,0,0,1,3,69,72,66,70,82,72,88,91,87,80,88,39,51,80,59,57,51,40,85,68,83,91,60,68,87,86,60,69,51,10,10,10,10,10
111,Aitana Bonmatí Conca,Gold Rare,N/A,241667,91,14,-1,-1,-1,4205376,0,1048576,0,121,121,0,0,0,3,5,84,86,93,86,76,82,75,91,64,85,88,91,90,91,74,92,91,77,54,90,91,75,79,90,81,67,80,78,70,10,10,10,10,10
115,Chloe Kelly,Gold Rare,N/A,257001,87,12,-1,-1,-1,43003912,0,0,0,126,126,37,0,0,3,4,88,88,87,76,76,77,75,83,40,81,50,82,83,84,87,85,85,81,50,82,86,44,92,82,38,38,71,86,80,10,10,10,10,10
116,Débora C. de Oliveira,Gold Rare,N/A,226893,88,18,-1,-1,-1,38797536,0,8388608,0,131,131,137,0,0,4,5,85,85,90,94,75,90,70,77,70,84,49,87,90,91,80,93,78,77,56,85,87,49,80,85,39,44,86,89,73,10,10,10,10,10
117,Caroline Graham Hansen,Gold Rare,N/A,227102,90,23,-1,-1,-1,38798337,0,8388608,0,136,136,126,0,0,4,5,90,88,94,75,84,87,74,83,66,84,35,87,89,90,90,92,86,85,71,84,89,45,88,84,50,46,89,92,79,10,10,10,10,10
121,Lindsey Heaps,Gold Rare,N/A,231432,87,18,-1,-1,-1,532509,0,256,0,32,121,0,0,0,3,3,78,75,79,68,92,85,84,87,63,81,71,87,88,87,79,85,83,87,89,90,91,59,89,90,62,49,83,68,70,10,10,10,10,10
122,Alessia Russo,Gold Rare,N/A,258980,89,25,-1,-1,-1,543686657,0,16,0,142,142,33,0,0,3,3,81,82,81,73,91,72,79,89,55,84,34,90,69,90,64,89,90,65,90,60,81,29,88,60,37,35,84,64,76,10,10,10,10,10
126,Lucy Bronze,Gold Rare,N/A,227246,87,3,-1,-1,-1,201359360,0,16384,0,106,106,0,0,0,2,3,70,71,73,70,83,82,92,85,82,87,85,73,74,84,87,79,55,72,82,81,86,88,85,81,88,85,66,82,62,10,10,10,10,10
127,Rose Lavelle,Gold Rare,N/A,232075,87,14,-1,-1,-1,5245313,0,512,0,118,118,134,0,0,3,4,84,85,79,85,63,86,54,86,63,79,79,87,88,88,74,90,85,69,44,85,91,41,74,85,74,52,68,72,74,10,10,10,10,10
128,María Francesca Caldentey Oliver,Gold Rare,N/A,237288,89,14,-1,-1,-1,5254400,0,67108864,0,121,121,49,36,0,3,4,81,76,92,93,73,93,78,86,65,84,79,81,88,89,84,90,89,72,61,89,89,75,75,89,80,77,56,75,80,10,10,10,10,10
132,Kadidiatou Diani,Gold Rare,N/A,227361,88,23,-1,-1,-1,571474064,0,1,0,137,137,143,0,0,3,4,91,93,89,84,89,80,89,84,52,88,55,88,84,89,79,87,90,70,81,74,87,46,79,74,60,49,74,74,71,10,10,10,10,10
133,Patricia Guijarro Gutiérrez,Gold Rare,N/A,237289,89,10,-1,-1,-1,21506304,0,1024,0,149,149,121,0,0,3,4,78,78,82,87,90,78,85,86,82,84,84,80,84,90,69,86,80,66,84,92,90,86,89,92,87,85,58,75,70,10,10,10,10,10
137,Marie Katoto,Gold Rare,N/A,246272,88,25,-1,-1,-1,17301504,0,16,0,142,142,0,0,0,3,4,88,82,84,68,95,71,85,82,44,86,27,91,79,87,71,84,90,72,91,70,85,37,84,70,35,30,91,71,82,10,10,10,10,10
138,Khadija Shaw,Gold Rare,N/A,246219,89,25,-1,-1,-1,553648192,0,16,0,144,144,0,0,0,2,4,72,71,62,48,92,83,91,88,71,86,25,91,79,89,59,82,93,63,91,68,78,23,93,68,30,20,77,58,75,10,10,10,10,10
142,María Pilar León Cebrián,Gold Rare,N/A,236479,89,5,-1,-1,-1,17416,0,262144,0,113,113,0,0,0,1,3,73,77,73,86,88,75,85,90,84,91,90,70,62,82,81,68,61,85,83,84,85,91,78,84,90,89,49,82,64,10,10,10,10,10
146,Annalena Rieke,Silver Rare,N/A,272341,74,10,-1,-1,-1,16,0,0,0,14,0,0,0,0,2,2,53,49,49,48,71,73,76,74,68,73,70,77,74,76,73,71,72,59,64,78,76,68,67,78,73,63,44,62,55,10,10,10,10,10
147,Manuela Giugliano,Gold Rare,N/A,227095,85,14,-1,-1,-1,1049600,0,0,0,20,16,34,0,0,3,4,80,82,89,90,68,88,64,83,83,76,77,84,86,87,78,85,81,82,47,84,87,74,79,84,76,70,70,80,72,10,10,10,10,10
151,Alayah Pilgrim,Gold Non-rare,N/A,275887,75,27,-1,-1,-1,2097152,0,0,0,38,0,0,0,0,2,3,72,70,66,56,81,70,72,76,51,58,22,76,74,77,73,76,74,63,72,68,77,49,74,68,59,39,70,51,66,10,10,10,10,10
155,Giada Greggi,Gold Rare,N/A,266973,84,14,-1,-1,-1,1179648,0,0,0,18,0,0,0,0,2,5,83,84,86,80,73,88,63,81,80,78,78,82,86,87,34,85,69,78,58,82,85,77,73,82,81,74,62,57,60,10,10,10,10,10
156,Évelyne Viens,Gold Non-rare,N/A,261514,80,25,-1,-1,-1,1,0,0,0,41,0,0,0,0,2,4,83,79,76,78,88,50,80,80,32,66,35,86,59,84,44,80,80,51,74,58,80,19,78,58,21,15,79,50,72,10,10,10,10,10
157,Emilie Haavi,Gold Rare,N/A,227101,82,27,-1,-1,-1,2097152,0,0,0,38,0,0,0,0,2,4,88,88,92,92,83,77,69,80,64,84,65,80,80,83,82,85,77,71,71,76,80,58,76,76,66,63,72,82,71,10,10,10,10,10
158,Olivie Lukášová,Gold Non-rare,N/A,275811,75,0,-1,-1,-1,0,36,0,0,1,0,0,0,0,0,3,40,43,39,41,67,31,77,77,31,51,13,11,48,14,13,7,6,15,10,31,43,10,53,31,16,15,8,13,21,71,71,70,76,75
162,Oihane Valdezate Cabornero,Gold Non-rare,N/A,272122,75,5,-1,-1,-1,656384,0,0,0,11,0,0,0,0,1,2,72,75,68,70,88,70,78,60,69,60,74,35,45,78,40,55,50,35,80,65,85,72,49,65,75,76,55,49,55,10,10,10,10,10
166,Rinsola Babajide,Gold Rare,N/A,264089,79,27,-1,-1,-1,35651584,0,0,0,39,30,43,0,0,3,4,89,89,87,82,90,74,87,76,58,67,43,76,74,75,80,80,76,65,70,66,72,32,81,66,66,54,67,72,74,10,10,10,10,10
170,Kenan Yıldız,Gold Rare,N/A,277954,79,18,-1,-1,-1,1053056,0,0,0,33,30,40,0,0,3,5,85,84,83,74,80,72,67,72,50,75,35,78,77,85,74,85,78,67,69,70,75,32,79,70,30,26,78,80,70,10,10,10,10,10
174,Gleison Bremer Silva Nascimento,Gold Rare,N/A,239580,85,5,-1,-1,-1,268993552,0,0,0,112,112,0,0,0,1,2,78,86,65,63,92,65,84,78,84,78,84,58,45,68,46,62,49,24,87,69,75,87,68,69,87,84,38,42,43,10,10,10,10,10
175,Federico Gatti,Gold Rare,N/A,266872,80,5,-1,-1,-1,268697600,0,0,0,48,0,0,0,0,1,3,73,78,56,59,88,74,81,79,84,78,80,45,40,68,38,62,30,46,80,61,68,82,68,61,83,78,42,38,49,10,10,10,10,10
179,Manuel Locatelli,Gold Rare,N/A,222077,84,10,-1,-1,-1,67822592,0,0,0,116,116,20,0,0,2,4,61,65,65,61,72,89,71,82,81,82,81,68,82,81,73,76,58,64,68,84,85,82,79,84,85,80,70,73,75,10,10,10,10,10
180,Pierre Kalulu,Gold Rare,N/A,255654,80,5,-1,-1,-1,32768,0,0,0,48,0,0,0,0,1,3,76,83,73,69,83,76,73,80,80,80,82,60,59,74,70,64,43,44,75,65,77,82,66,65,83,79,54,65,49,10,10,10,10,10
184,Loïs Openda,Gold Rare,N/A,243580,83,25,-1,-1,-1,35651681,0,0,0,142,142,0,0,0,2,4,94,96,83,85,93,83,80,84,74,80,26,83,69,81,69,79,84,53,79,59,75,29,85,59,23,19,77,66,74,10,10,10,10,10
185,Lucia Di Guglielmo,Gold Rare,N/A,266970,78,7,-1,-1,-1,268468224,0,0,0,9,5,0,0,0,1,3,81,89,79,75,82,85,73,77,73,74,75,45,60,77,76,63,37,61,70,70,78,75,45,70,77,66,24,63,56,10,10,10,10,10
186,Jonathan David,Gold Rare,N/A,243630,82,25,-1,-1,-1,117440576,0,0,0,42,0,0,0,0,2,5,79,83,75,71,87,90,77,84,61,81,33,88,74,81,67,80,85,58,77,69,76,29,79,69,29,19,77,59,86,10,10,10,10,10
187,Dušan Vlahović,Gold Rare,N/A,246430,82,25,-1,-1,-1,553648331,0,0,0,41,0,0,0,0,2,4,76,79,68,53,92,74,86,84,80,78,24,86,70,81,57,79,84,89,82,60,75,19,84,60,26,24,80,79,84,10,10,10,10,10
188,Khéphren Thuram,Gold Rare,N/A,247246,81,14,-1,-1,-1,83886592,0,0,0,18,16,0,0,0,2,3,76,80,75,65,87,81,79,79,84,82,81,78,78,83,72,81,77,56,76,80,83,80,79,80,84,75,65,72,60,10,10,10,10,10
192,Valentina Bergamaschi,Gold Non-rare,N/A,246786,76,16,-1,-1,-1,2097152,0,0,0,27,0,0,0,0,2,3,84,84,79,76,84,85,78,78,70,78,78,70,76,74,74,68,73,57,66,68,74,80,62,68,77,73,23,63,57,10,10,10,10,10
