playerid,firstname,surname,playerjerseyname,commonname,overallrating,gkglovetypecode,role5,role2,role1,eyebrowcode,skintypecode,haircolorcode,facialhairtypecode,curve,jerseystylecode,agility,tattooback,accessorycode4,gksavetype,positioning,tattooleftarm,hairtypecode,facepsdlayer0,standingtackle,preferredposition3,longpassing,penalties,animfreekickstartposcode,lipcolor,isretiring,longshots,gkdiving,icontrait2,interceptions,shoecolorcode2,crossing,potential,gkreflexes,finishingcode1,reactions,composure,skinsurfacepack,vision,contractvaliduntil,finishing,dribbling,slidingtackle,accessorycode3,preferredposition5,accessorycolourcode1,headtypecode,driref,sprintspeed,undershortstyle,height,hasseasonaljersey,tattoohead,preferredposition2,strength,shoetypecode,birthdate,preferredposition1,tattooleftleg,skinmakeup,ballcontrol,phypos,shotpower,trait1,socklengthcode,weight,hashighqualityhead,eyedetail,tattoorightarm,icontrait1,balance,gender,headassetid,gkkicking,defspe,internationalrep,preferredposition6,shortpassing,freekickaccuracy,skillmoves,faceposerpreset,usercaneditname,avatarpomid,finishingcode2,aggression,acceleration,paskic,headingaccuracy,iscustomized,preferredposition7,runningcode2,modifier,gkhandling,eyecolorcode,jerseysleevelengthcode,sockstylecode,accessorycolourcode3,accessorycode1,playerjointeamdate,headclasscode,tattoofront,nationality,preferredfoot,sideburnscode,weakfootabilitytypecode,jumping,personality,gkkickstyle,stamina,firstnameid,accessorycolourcode4,gkpositioning,headvariation,skillmoveslikelihood,trait2,shohan,skintonecode,shortstyle,role3,smallsidedshoetypecode,emotion,runstylecode,facepsdlayer1,muscularitycode,skincomplexion,jerseyfit,accessorycode2,shoedesigncode,shoecolorcode1,hairstylecode,bodytypecode,animpenaltiesstartposcode,pacdiv,defensiveawareness,runningcode1,preferredposition4,volleys,accessorycolourcode2,tattoorightleg,facialhaircolorcode,lastnameid,playerjerseynameid,commonnameid,role4
1625,,,,,91,0,0,139,141,2150401,0,0,243,92,0,88,0,0,0,92,0,25,4,49,-1,74,84,0,0,0,86,10,0,51,15,78,91,10,0,90,85,240101,80,2030,93,89,43,0,-1,0,530,89,93,0,188,1,0,27,81,1,144213,25,0,0,92,78,87,37748929,2,83,1,2,0,2097152,76,0,1625,7,51,5,-1,86,85,3,0,0,0,0,62,93,82,84,0,-1,0,1,12,9,0,1,0,0,160432,0,0,18,1,0,4,69,3,0,86,36201,0,10,0,3,0,90,7,0,0,500,2,0,2,0,1,0,0,0,0,0,5,2,93,44,20,-1,89,0,0,0,15112,15112,0,0
1668,,,,,87,0,0,17,114,1360401,1,0,28,49,0,83,0,0,0,59,0,1,2,92,12,80,48,0,0,0,52,6,0,90,15,69,87,14,0,88,87,250101,79,2030,41,70,83,0,-1,0,1024,78,80,0,174,1,0,14,83,1,142572,10,0,0,82,86,59,84180992,0,70,1,2,0,65536,89,0,1668,10,86,4,-1,87,34,2,0,0,0,0,87,83,76,56,0,-1,0,1,14,3,0,1,0,0,160432,0,0,18,1,0,3,84,3,0,90,7437,0,7,0,1,256,48,9,0,119,500,2,0,1,0,6,0,0,0,0,0,2,0,81,87,0,-1,40,0,0,0,23200,23157,0,24
1845,,,,,86,0,0,0,142,2010000,1,5,0,84,0,80,0,0,0,92,0,21,3,37,-1,69,82,0,0,0,84,7,0,41,15,72,86,15,10,90,88,252001,81,2030,91,83,41,0,-1,0,4001,84,84,0,178,1,0,-1,66,1,142580,25,0,0,86,66,84,4194368,0,74,0,2,0,1,75,0,1845,11,45,4,-1,75,64,2,0,0,0,0,52,86,75,84,0,-1,0,0,7,2,1,1,0,0,160102,0,0,36,1,0,4,67,5,0,75,27974,0,11,0,2,512,88,2,0,0,500,2,0,3,0,1,0,0,0,0,0,2,0,85,44,2,-1,87,0,0,6,34486,34485,0,0
3622,,,,,88,0,0,11,112,2320401,0,20,0,54,1,77,0,0,0,48,0,99,3,91,-1,77,52,0,0,0,59,16,0,88,15,64,88,12,0,86,83,244101,63,2030,53,65,89,0,-1,0,1506,73,78,0,183,1,0,-1,78,1,144487,5,0,0,79,82,64,835584,0,79,1,2,0,131072,82,0,3622,8,91,4,-1,82,48,1,0,0,0,0,86,75,71,89,0,-1,0,1,13,6,0,1,0,0,160444,0,0,38,1,0,3,88,4,0,84,31234,0,12,0,1,4096,56,4,0,0,500,3,0,4,0,3,0,0,0,0,0,2,0,77,93,0,-1,52,0,0,0,34080,30414,31237,0
4202,,,,,65,0,0,18,14,30301,0,0,286,66,1,65,0,0,0,66,0,84,3,65,12,65,66,0,0,0,66,8,0,65,2,66,65,5,0,65,66,223101,65,2030,66,66,65,0,-1,0,1511,66,65,0,177,1,0,14,65,3,144358,10,0,0,65,65,66,262144,1,76,1,0,0,0,65,0,4202,8,65,1,-1,65,66,1,0,0,0,0,65,65,65,65,0,-1,0,0,7,9,0,1,0,0,161725,0,0,27,1,0,3,65,4,0,65,13040,0,11,0,1,0,66,2,0,23,501,5,0,4,0,1,0,0,0,15,0,3,0,65,65,0,-1,66,0,0,0,12911,12911,0,0
4231,,,,,90,0,0,132,139,2320401,0,0,0,93,0,89,0,0,0,89,0,45,3,42,16,83,85,0,0,0,91,12,0,37,15,86,90,12,0,90,91,250101,87,2030,86,92,39,0,-1,0,1514,91,87,0,186,1,0,18,79,0,142267,27,0,0,92,75,91,5251081,0,75,1,2,0,32,78,0,4231,15,42,5,-1,87,90,3,0,0,0,0,58,86,87,74,0,-1,3,1,10,9,0,1,0,0,160432,0,0,54,2,0,2,72,2,0,82,31395,0,11,0,3,0,88,5,0,30,500,3,0,0,0,1,0,0,0,0,0,4,0,87,37,2,-1,90,0,0,0,5062,31394,31394,0
4833,,,,,89,0,0,136,141,2210000,0,0,287,88,0,88,0,0,0,90,0,21,1,52,27,81,90,0,0,0,90,11,0,52,15,84,89,6,20,87,87,252001,87,2030,92,91,47,0,-1,0,2001,90,89,0,178,0,0,23,81,1,140005,25,0,0,90,84,90,1048617,0,73,1,2,0,64,82,0,4833,7,49,5,-1,83,88,3,0,0,0,0,91,91,84,80,0,-1,0,1,12,4,0,1,0,0,160432,0,0,9,2,0,3,77,3,0,84,15647,0,8,0,2,0,91,3,0,39,500,5,0,4,0,2,0,0,0,0,0,2,0,90,35,17,-1,90,0,0,0,34972,34972,0,0
5003,,,,,91,0,0,6,105,2320401,1,0,0,75,0,75,0,0,0,71,0,47,1,90,-1,71,71,0,0,0,64,12,0,90,5,91,91,6,0,89,87,250101,82,2030,44,86,84,0,-1,0,4003,85,90,0,176,1,0,-1,83,2,141585,3,0,0,87,83,65,24704,0,75,0,2,0,67108864,79,0,5003,7,88,5,-1,87,61,3,0,0,0,0,74,91,83,78,0,-1,0,3,15,3,0,1,0,0,160432,0,0,54,1,0,3,80,2,0,92,23599,0,13,0,3,0,56,6,0,0,500,2,0,4,0,1,0,0,0,0,0,2,0,90,88,0,-1,60,0,0,0,40597,6052,6052,0
5419,,,,,88,0,0,41,142,2150000,0,3,287,71,0,85,0,0,0,93,0,115,3,30,-1,52,86,0,0,0,79,7,0,31,15,66,88,8,0,89,82,242101,71,2030,93,89,30,0,-1,0,2007,87,89,0,173,0,0,-1,61,1,145062,25,0,0,85,66,85,2097155,0,70,0,2,0,33554432,84,0,5419,10,35,4,-1,78,66,2,0,0,0,0,56,90,69,82,0,-1,0,1,15,4,0,1,0,0,160432,0,0,14,1,0,4,83,3,0,79,24969,0,10,0,2,2048,88,2,0,0,500,2,0,2,0,1,0,0,0,0,0,2,0,89,28,17,-1,88,0,0,3,28464,28464,0,0
5454,,,,,88,0,0,0,107,1140000,0,3,287,74,0,77,0,0,0,77,0,119,3,83,-1,85,68,0,0,0,62,14,0,85,15,86,88,10,0,86,83,250101,72,2030,47,78,87,0,-1,0,2508,82,85,0,169,1,0,-1,77,1,141405,7,0,0,86,82,77,33723392,0,70,0,2,0,262144,91,0,5454,7,83,4,-1,84,51,2,0,0,0,0,86,89,80,69,0,-1,0,3,7,3,0,1,0,0,160890,0,0,18,2,0,3,72,2,0,89,4684,0,6,0,1,0,59,4,0,0,500,4,0,4,0,3,0,0,0,0,0,8,0,87,85,0,-1,65,0,0,3,21917,21917,0,0
5467,,,,,86,0,0,103,111,1140000,0,0,287,60,0,63,0,0,0,52,0,154,0,87,7,73,68,0,0,0,52,16,0,87,15,65,86,16,0,85,82,242101,64,2030,41,63,90,0,-1,0,46,67,71,0,185,1,0,3,85,1,144377,5,0,0,71,84,73,278528,0,83,1,2,0,32768,61,0,5467,9,87,4,-1,75,43,1,0,0,0,0,89,69,68,83,0,-1,0,1,14,5,1,1,0,0,161292,0,0,14,1,0,3,86,5,0,78,17056,0,15,0,1,4608,52,3,0,7,500,4,0,4,0,1,0,0,0,0,0,5,0,70,88,0,-1,44,0,0,0,6469,6469,0,0
5471,,,,,87,0,0,149,118,1140401,0,3,0,82,0,70,0,0,0,83,0,17,0,73,18,90,87,1,0,0,92,12,0,76,15,80,87,8,0,87,87,242101,82,2030,87,84,60,0,-1,0,2000,84,78,0,184,0,0,10,78,2,144520,14,0,0,89,80,90,16780104,0,89,1,2,0,4,71,0,5471,15,71,4,-1,91,85,2,0,0,0,0,73,75,86,68,0,-1,0,1,14,6,0,1,0,0,160432,0,0,14,1,0,4,77,5,0,90,12257,0,10,0,2,512,88,3,0,31,502,2,0,2,0,1,0,0,0,2,0,2,2,77,70,18,-1,84,0,0,3,20881,20881,0,0
5479,,,,,90,8,0,0,102,2210000,0,3,287,24,1,66,0,0,0,18,0,40,3,16,-1,56,29,0,0,0,28,90,2,27,1,29,90,93,0,89,68,242101,69,2030,31,29,21,0,-1,0,1518,93,54,0,185,3,0,-1,69,1,145585,0,0,0,33,88,63,0,0,80,1,2,0,0,56,0,5479,84,59,5,-1,59,27,0,0,0,0,0,30,62,84,37,0,-1,0,1,88,4,0,1,0,0,160432,0,0,45,2,0,3,81,5,2,44,16159,0,88,0,0,4624,88,2,0,0,502,4,0,2,0,1,0,0,0,19,0,2,0,90,28,0,-1,27,0,0,0,6551,6550,6550,0
